Month,Company/Brand,Founded,Headquarters,Sector,Founder/s,Investor/s,Amount ($),Stage
July,HealthifyMe,2012,Bangalore,Healthcare,"Tushar Vashisht, Sachin Shenoy","LeapFrog, Khosla Ventures",75000000,Series C
July,GalaxyCard,2017,Gurugram,FinTech,Amit Kumar,JITO Angel Network,450000,
July,Bella Vita Organic,2018,Gurugram,Healthcare,Aakash Anand,Ananta Capital,10000000,
July,SmartCoin,2016,Bangalore,FinTech,"Jayant Upadhyay, Amit Chandel, Rohit Garg","Northern Arc, Vivriti Capital",10000000,
July,CareerNinja,2017,Mumbai,EdTech,Shronit Ladhaniai,Unitus Ventures,Undisclosed,Seed
July,MYSUN,2016,New Delhi,Solar,Gagan Vermani,TATA Cleantech Capital,2000000,
July,Sea6 Energy,2010,Bangalore,Biotechnology,"Sailaja Nori, Nelson Vadassery, Sowmya Balendiran, Shrikumar Suryanarayan",Aqua-Spark,9000000,Series B
July,Beco,2018,Mumbai,Consumer Goods,"Aditya Ruia, Akshay Varma, Anuj Ruia",Climate Angels Fund,500000,Seed
July,OneCode,2020,Bangalore,Internet,"Manish Shara, Yash Desai","Sequoia’s Surge, Nexus Venture Partners",5000000,
July,MedPay,2020,Bangalore,Information Technology,"Arun Bhatia, Ravi Chandra","Entrepreneur First (EF), GrowX Ventures",1200000,Seed
July,Inshorts,2013,Noida,Internet,Azhar Iqubal,Vy Capital,60000000,
July,Digantara,2018,Bangalore,SpaceTech,"Anirudh N Sharma, Rahul Rawat, Tanveer Ahmed",Kalaari Capital,2500000,Seed
July,Aqgromalin,2018,Chennai,AgriTech,"Prasanna Manogaran, Bharani CL",Zephyr Peacock,700000,Seed
July,Square Yards,2014,Gurugram,Real Estate,Tanuj Shori,ADM Capital,25000000,
July,OYO,2013,Gurugram,Hospitality,Ritesh Agarwal,"SoftBank Vision Fund, Hindustan Media Venture",660000000,
July,Slang Labs,2017,Bangalore,Computer software,Kumar Rangarajan,100x Entrepreneurs,Undisclosed,
July,NirogGyan,2019,Gurugram,Healthcare,"Joyneel Acharya, Shweta Gandhi","Healthcare veterans, PIEDS",Undisclosed,Seed
July,Ola Electric,2017,Bangalore,Automotive,Bhavish Aggarwal,Bank of Baroda,100000000,Debt
July,Bikry app,2019,Noida,Consumer software,Abhishek Bhayana,YCombinator,1300000,
July,Oliveboard,2012,Bangalore,EdTech,"Abhishek Patil, V Satish Kumar",IAN Fund,3000000,
July,Little Leap,2020,New Delhi,EdTech,Holistic Development Programs for children in age range 5-15,Vishal Gupta,ah! Ventures,300000
July,Trell,2016,Bangalore,Social commerce,"Pulkit Agarwal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba","Mirae Asset, H&M",45000000,Series B
July,Kredent,2008,Kolkata,EdTech,"Vineet Patawari, Vivek Bajaj, Vinay Pagaria",Kotak Securities,1000000,
July,EasyAspataal,2020,Mumbai,Healthcare,"Manoj Gupta, Gunjali Kothari",Venture Catalysts,500000,Seed
July,SMOOR,2008,Bangalore,Food & Beverages,Vimal Sharma,Klub,Undisclosed,
July,Pankhuri,2019,Bangalore,Social community,Pankhuri Shrivastava,Sequoia’s Surge,3200000,
July,Arcana,2019,Bangalore,Information Technology,"Mayur Relekar, Aravindh Kumar, Abhishek Chaudhary",Balaji Srinivasan,370000,Seed
July,AdmitKard,2016,Noida,EdTech,"Vamsi Krishna, Pulkit Jain, Gaurav Munjal #REF!",1000000,Pre-series A,
July,UrbanKisaan,2017,Hyderabad,Food & Beverages,"Srinivas Chaganti, Vihari Kanukollu, Sairam Reddy",BASF Venture Capital GmbH,Undisclosed,
July,Aquaconnect,2017,Chennai,Fishery,Rajamanohar,"Rebright Partners, Flourish Ventures",4000000,Pre-series A
July,Vah Vah!,2020,Bangalore,EdTech,"Shailesh Daxini, Akash Senapaty, Muthukaleeshwaran Subbiah",Sequoia Surge,1800000,
July,LetsDressUp,2019,Gurugram,Apparel & Fashion,Aditya B,"Titan Capital, Sequoia Capital",300000,Pre-series A
July,Sapio Analytics,2019,Mumbai,Computer software,"Ashwin Srivastava, Hardik Somani, Prashant Nikam",Parthiv Group,150000,
July,BHyve,2020,Mumbai,Human Resources,Backed by 100x.VC,"Omkar Pandharkame, Ketaki Ogale","ITO Angel Network, LetsVenture",300000
July,Indi Energy,2019,Roorkee,Renewables & Environment,Dr. ASIT SAHOO,Mumbai Angels Network,Undisclosed,Seed
July,The Ayurveda Co,2021,Gurugram,Consumer Goods,"Param Bhargava, Shreedha Singh","GetVantage, Velocity, Shiprocket Capital",Undisclosed,
July,Pratilipi,2015,Bangalore,Online storytelling,Ranjeet Pratap Singh,"Krafton Inc, Omidyar",48000000,
July,Ati Motors,2017,Bangalore,Automotive,"Saurabh Chandra, Saad Nasser","Blume Ventures, Exfinity Venture Partners",35000000,Pre-series A
July,peAR,2018,Mumbai,Deeptech,"Dharmin Vora, Dhruvesh Mehta, Parth Vora",Inflection Point Ventures,300000,Pre-series A1
July,Gourmet Garden,2019,Bangalore,Farming,Arjun Balaji,"Beyond Next Ventures, M Venture Partners",3000000,
July,The Sleep Company,2019,Mumbai,Consumer Goods,,Fireside Ventures,1000000,Pre-series A
July,TyrePlex,2020,New Delhi,B2B E-commerce,"Puneet Bhaskar, Rupendra Pratap Singh",AdvantEdge Founders,Undisclosed,Seed
July,ION Energy,2016,Mumbai,Automotive,Akhil Aryan,,3600000,Pre-series A
July,Digit Insurance,2016,Bangalore,Insuretech,Kamesh Goyal,"Faering Capital, Sequoia Capital India, IIFL Alternate Asset Managers",200000000,
July,FRAAZO,2020,Mumbai,Food & Beverages,"Atul Kumar, Aashish Krishnatre","Sixth Sense Ventures, NABVENTURES",11000000,Series A
July,Licious,2015,Bangalore,Food & Beverages,"Abhay Hanjura, Vivek Gupta","Temasek, Multiples PE",192000000,Series F
July,WinZO,2018,New Delhi,Gaming,Paavan Nanda,Griffin Gaming Partners,65000000,Series C
July,Furlenco,2012,Bangalore,Consumer Goods,Ajith Mohan Karimpana,Zinnia Global,100000000,
July,Skylark Drones,2014,Bangalore,Aviation,Mughilan Thiru Ramasamy,"InfoEdge Ventures, IAN Fund",3000000,Pre-series A
July,Leegality,2016,Gurugram,IT company,Shivam Singla,"IIFL, Mumbai Angels",Undisclosed,Pre-series A
July,Arcatron Mobility,2015,Pune,Healthcare,Ganesh Sonawane,Klub,Undisclosed,
July,TWID,2020,Bangalore,FinTech,"Amit Sharma, Amit Koshal, Rishi Batra","BEENEXT, Sequoia’s Surge",2500000,
July,PeakPerformer,2020,Bangalore,EdTech,"Aishwarya Goel, Gaurav Jhunjhnuwala",Antler India,Undisclosed,Early seed
July,MyMobiForce,2018,Noida,Internet,"Dheeraj Khatter, Himanshu Kumar, Kshitiz Saini",Bharat Inclusion,1400000,Pre-series A
July,Pine Labs,1998,Noida,Information Technology,Amrish Rau,"Fidelity, BlackRock",600000,
July,Genworks Health,2015,Bangalore,Healthcare,S Ganeshprasad,Blacksoil,2000000,
July,Pocketly,2019,Bangalore,FinTech,"Aarav Bhatia, Navdeesh Ahuja",,Undisclosed,
July,Neverinstall,2019,Bangalore,Information Technology,"Lakshmana Pasala, Ram Pasala",Speciale Invest,370000,Seed
July,CoRover,2016,Bangalore,Information Technology,"Ankush Sabharwal, Manav Gandotra, Kunal Bhakhri",Canbank Venture Capital Fund,Undisclosed,
July,BeatO,2015,New Delhi,Healthcare,Gautam Chopra,W Health Ventures,5000000,Pre-series B
July,Earth Rhythm,2020,Gurugram,Cosmetics,Harini Sivakumar,Anicut Angel Fund,1200000,Seed
July,Fountain9,2019,Mumbai,Computer software,"Niki Khokale, Rajas Lonkar","021 Capital, Y Combinator",1900000,Seed
July,Rockclimber,2019,Bangalore,Food & Beverages,"Deepak Poduval, Hariprasad Shetty",Anand Prakash Sharma,1000000,
July,SpEd@home,2020,Mumbai,EdTech,Dhaval Mody,,300000,
July,CanPe,2019,Bangalore,Computer software,Arindam Choudhury,Axilor Ventures,Undisclosed,Seed
July,Green Soul,2016,Ambernath,Consumer Goods,Ravi Khushwani,https://velocity.in/,200000,
July,Shiprocket,2012,New Delhi,Logistics,"Saahil Goel, Akshay Ghulati","March Capital, Tribe Capital",41000000,Series D1
July,DealShare,2018,Bangalore,Retail,"Rajat Shikhar, Vineet Rao, Sourjyendu Medda",Tiger Global,144000000,
July,Teachmint,2020,Bangalore,EdTech,"Mihir Gupta, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Learn Capital,20000000,Pre-series B
July,Vahak,2017,Bangalore,Transportation,"Vikas Chandrawat, Karan Shaha",RTP Global,5000000,Pre-series A
July,goSTOPS,2014,New Delhi,Hospitality,"Pallavi Agarwal, Pankaj Parwanda","IAN, Yuj Ventures",1000000,Pre-series A
July,Codedamn,2020,New Delhi,Computer software,Mehul Mohan,Antler India,Undisclosed,Pre-seed
July,Biocraft Innovation Technology,2019,Noida,Environmental service,"Vibha Mittal, Anubhav Mittal",JITO Angel Network,Undisclosed,Pre-seed
July,Powerplay,2020,Bangalore,Construction,"Shubham Goyal, Lesh Dixit","Sequoia’s Surge, Accel Partners",5200000,
June,Accio Robotics,2020,Bangalore,Industrial Automation,"Tuhin Sharma, Pranav Srinivasan",Uday Sodhi,Undisclosed,
June,Delhivery,2011,Gurugram,Logistics,"Bhavesh Manglani, Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","Fidelity, GIC",270000000,Series H
June,Avishkaar,2014,New Delhi,EdTech,"Rajeev Gaba, Tarun Bhalla",Auxano,600000,Pre-series A
June,Jobsgaar,2020,New Delhi,Job discovery platform,Atul Pratap Singh,SucSEED Indovation Fund,140000,Seed
June,Almo,2020,Gurugram,D2C Fashion,Abhishek Shah,Angelist India,Undisclosed,Seed
June,Breathe Well-being,2015,New Delhi,HealthCare,"Aditya Kaicker, Rohan Verma","Stanford Angels and Entrepreneurs India, Anjali Bansal",1000000,Pre-series A
June,GalaxEye,2020,Chennai,SpaceTech,"Denil Chawda, Kishan Thakkar, Pranit Mehta, Satyanarayanan Chakravarthy, Suyash Singh",Speciale Invest,Undisclosed,Pre-seed
June,Good Health Clinic,2021,Hyderabad,HealthCare,Samarth Sindhi,Khosla Ventures,5000000,
June,Urban Company,2014,New Delhi,Home services,"Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan","Vy Capital, Wellington Management",250000000,Series F
June,MYBYK,2014,Ahmadabad,Rental,Arjit Soni,Avon Cycles,1000000,Pre-series A
June,Locus,2015,Bangalore,Logistics,"Geet Garg, Nishith Rastogi","Blume Ventures, Exfinity Venture Partners",50000000,Series C
June,Crejo.Fun,2020,Bangalore,EdTech,Vikas Bansal,"Matrix Partners India, 021 Capital",3000000,Seed
June,Bambinos,2020,Bangalore,EdTech,"Ashish Gupta, Ankit Hetamsaria","HNIs, Angels",500000,Seed
June,KreditBee,2018,Bangalore,FinTech,"Karthikeyan Krishnaswamy, Madhusudan Ekambaram, Wan Hong","NewQuest Capital Partners, Motilal Oswal Private Equity",8000000,
June,Spardha,2016,Pune,EdTech,"Saurabh Srivastav, Amrita Srivastav",Inflection Point Ventures,400000,Pre-series A1
June,Onelife Nutriscience,2019,Mumbai,HealthCare,Gaurav Aggarwal,Lasons India,Undisclosed,
June,Flatheads,2019,Bangalore,Fashion,"Ganesh Balakrishnan, Utkarsh Biradar","Pankaj Chaddah, Srivatsan Rajan",Undisclosed,
June,Fable Fintech,2015,Mumbai,FinTech,Naushad Contractor,Paytm,Undisclosed,Series A
June,Holisol,2009,New Delhi,Logistics,"Manish Ahuja, Naveen Rawat, Rahul Dogar","BlackSoil, CLSA Capital Partners",3000000,
June,Now&Me,2018,New Delhi,HealthCare,"Bani Singh, Drishti Gupta","Saama, Whiteboard Capital",1000000,
June,Fyllo,2019,Bangalore,AgriTech,"Sudhanshu Rai, Sumit Sheoran","Indian Angel Network, Titan Capital, Lead Angels",400000,Seed
June,Cora Health,2020,Bangalore,HealthCare,"Shrijit Venkatesh, Snigdha Kumar",,Undisclosed,
June,Blaer Motors,2014,Chennai,Mobility,Abinesh Ekambaram,The Chennai Angels,300000,
June,Swiflearn,2019,Gurugram,EdTech,"Abhinav Agarwal, Anand Bakode","Venture Highway, Stellaris Venture Partners",3000000,Pre-series A
June,Cashfree,2015,Bangalore,FinTech,"Akash Sinha, Reeju Datta","State Bank of India, Y Combinator",Undisclosed,
June,QuickSell,2017,Mumbai,E-commerce,Deepak Bhagchandani,"Sanjay Baldwa, Ajay Jain",2000000,Pre-series A
June,Truemeds,2019,Mumbai,Heathcare,"Akshat Nayyar, Kunal Wani",InfoEdge,5000000,Series A
June,Candes,2015,New Delhi,E-commerce,"Sandeep Aggarwal, Vipin Aggarwal","Nitin Passi, Ruchirans Jaipuria",3000000,
June,MediBuddy,2000,Bangalore,Heathcare,"Satish Kannan, Enbasekar","Stride Ventures, InnoVen Capital",3000000,
June,F5,2018,New Delhi,Food & Beverages,"Lalit Aggarwal, Raghav Arora","Venture Catalysts, Jeevak Gupta",300000,Pre-series A
June,Capital Float,2013,Bangalore,FinTech,"Gaurav Hinduja, Sashank Rishyasringa","Triodos Investment Management, SAIF Partners",6000000,
June,IntelleWings,2019,Panchkula,IT startup,Pramod Sharma,,100000,Seed
June,Shyplite,2016,New Delhi,Logistics,"Nisschal Jain, Sugam Jain, Parinay Itkan",N+1 Capital,1000000,
June,Refyne,2020,Bangalore,FinTech,"Chitresh Sharma, Apoorv Kumar","DST Global, RTP Global",20000000,Series A
June,Greenjoules,2018,Pune,Renewable Energy,"R. Sethunath, V S Shridhar, V. Radhika, Viraraghavan Sankaran",Blue Ashva Capital,4500000,Series A
June,MentorKart,2018,New Delhi,Consulting,"Ashish Khare, SK Mohanty","Amit Singal, Manish Aggarwal",150000,Seed
June,Leverage Edu,2017,New Delhi,EdTech,Akshay Chaturvedi,"Trifecta Capital Advisors, Blume Ventures",2000000,Debt
June,Kale Logistics,2010,Thane,Logistics,"Amar More, Vipul Jain",Inflexor Ventures,5000000,Series A
June,CustomerGlu,2016,Bangalore,CRM,"Prateek Gupta, Raman Shrivastava, Sumant US","Kumar Aakash, Amit Singhal",320000,
June,Cell Propulsion,2016,Bangalore,EV startup,"Nakul Kukar, Paras Kaushal",growX ventures,2000000,
June,Wellbeing Nutrition,2019,Mumbai,HealthCare,Avnish Chhabria,Klub,Undisclosed,
June,Pee Safe,2013,Gurugram,HealthCare,"Dheeraj Jain, Srijana Bagaria, Vikas Bagaria","Shaival Desai, Alkemi Venture Partners",3000000,Pre-series B
June,Chqbook,2017,New Delhi,FinTech,"Mohit Goel, Rajat Kumar, Sachin Arora, Vipul Sharma","Aavishkaar Venture Capital, YWC Venture Capital",1000000,
June,SimpliContract,2020,Bangalore,Software,"Guru Venkatesan, Jinaraj PG, Makesh Kumar",Kalaari Capital,1800000,Seed
June,Dropshop,2019,Bangalore,Logistics,"Udit Dhawan, Rohit Fernandes, Ravi Teja",Inflection Point Ventures,1000000,Pre-series A
June,Jumbotail,2015,Bangalore,E-commerce,"Ashish Jhina, Karthik Venkateswaran",Alteria Capital,4000000,Debt
June,BYJU'S,2011,Bangalore,EdTech,"Byju Raveendran, Divya Gokulnath","Tiga Investments, Baron Capital",350000000,
June,Power Gummies,2018,New Delhi,Nutrition,Divij Bajaj,"Venture Catalysts, 9unicorns",1000000,
June,Convosight,2019,New Delhi,SaaS startup,Tarun Dhamija,Qualgro,9000000,Series A
June,Junio,2020,New Delhi,FinTech,Ankit Gera,"Amit Lakhotia, Pravin Jadhav",600000,Seed
June,Wherehouse.io,2020,New Delhi,Logistics,"Vaibhav Chawla, Jeevan Prakash, Lavelesh Sharma",Better Capital,Undisclosed,Seed
June,Flexmoney,2015,Mumbai,FinTech,Yezdi Lashkari,Pravega Ventures,4800000,Series A
June,Fampay,2019,Bangalore,FinTech,"Kush Taneja, Sambhav Jain","Greenoaks Capital, Elevation Capital",38000000,Series A
June,Apna,2019,Bangalore,Human Resources,Nirmit Parikh,"Sequoia Capital India, rocketship.vc",70000000,Series B
June,XYXX Apparels,2017,Surat,Fashion,Yogesh Kabra,https://sauce.vc/,4000000,Series A
June,WaterScience,2014,Bangalore,D2C startup,Sudeep N,https://velocity.in/,Undisclosed,
June,BrowserStack,2011,Mumbai,SaaS startup,"Nakul Aggarwal, Ritesh Arora",Accel,200000000,Series B
June,Vital,2018,New Delhi,Insuretech,Rahul Kumar,BLinC Invest,3000000,Pre-series A
June,Juicy chemistry,2014,Coimbatore,HealthCare,"Megha, Pritesh Asher",Spring Marketing Capital,Undisclosed,
June,Samaaro,2020,Bangalore,SaaS startup,"Mayank Banka, Purnank Prakash, Skandha Gopalan","Chaitanya Kalipatnapu, Kedar Gavane",125000,
June,Imagimake,2011,Mumbai,Innovation management,"Disha Katharani, Ravi Kumar","Roha Investment Managers, angel investor Saumil Shah",500000,Pre-series A
June,MSMEx,2019,Andheri,EdTech,"Amit Kumar, Vishal Kumar, Dilip Kumar, Khushboo Arora, Kumar Sambhav","TNF Ventures, Razorpay",1000000,Pre-series A
June,RenewBuy,2015,Gurugram,Insuretech,"Balachander Sekhar, Sandeep Nanda","Lok Capital, IIFL Asset Management",45000000,Series C
June,saarthi.ai,2017,Bangalore,AI startup,"Piyush Dangaich, Sameer Sinha, Sangram Sabat, Vishwa Nath Jha",Nvidia Inception,Undisclosed,Seed
June,Kutumb,2020,Bangalore,Community platform,"Mohit Sharma, Naveen Dewangan, Vipul Allawadhi","Tiger Global Management, DST Global",26000000,Series A
June,Superplum,2019,Noida,AgriTech,Shobhit Gupta,Marquee investors,3800000,Pre-series A
June,Upside AI,2017,Mumbai,FinTech,"Kanika Agarrwal, Nikhil Hooda, Atanuu Agarrwal",Endiya Partners,1200000,Seed
June,PazCare,2021,Bangalore,Insuretech,Sanchit Malik,"Ashish Hemrajani, Parikshit Dar",Undisclosed,
June,Answer Genomics,2019,Bangalore,HealthCare,Rahul Ranganathan,"India Accelerator, Lyxel&Flamingo",Undisclosed,
June,Skillmatics,2016,Mumbai,EdTech,Dhvanil Sheth,Sequoia Capital India,6000000,Series A
June,Bimaplan,2020,Bangalore,Insuretech,Vikul Goyal,"Roshan Abbas, Ritesh Malik",2500000,Pre-series A
June,Bueno Finance,2019,Gurugram,FinTech,"Saurav Gandhi, Sandeep Arora","Goat Capital, JAM Fund",3000000,Seed
June,CityMall,2019,Gurugram,E-commerce,"Angad Kikla, Naisheel Verdhan","General Catalyst, Jungle Ventures",22000000,Series B
June,BYJU’S,2011,Bangalore,EdTech,"Byju Raveendran, Divya Gokulnath","Blackstone Group, ADQ",50000000,
June,India Quotient,2012,Mumbai,Venture capitalist,"Anand Lunia, Madhukar Sinha",,64000000,
June,The Switch Fix,2019,Gurugram,HealthCare,"Abhishek Kumar, Rhea Shukla","Venture Catalysts, 9Unicorns",Undisclosed,Seed
June,Anvidha Technologies,2020,Haryana,Tech Startup,Ganesh ranganathan iyer,,1500000,Seed
June,DigiSparsh,2020,Mumbai,FinTech,"Saurabh Soni, Akhilesh Gandhi",GoAhead Ventures,Undisclosed,Seed
June,CoffeeMug.ai,2020,New Delhi,Networking,"Abhishek Sharma, Dipti Tandon","Paradigm Shift Capital, AngelList India",620000,Pre-seed
June,Pathfndr.io,2015,Bangalore,SaaS startup,Varun Gupta,Arali Ventures,Undisclosed,Pre-series A
June,BigLeap,2015,Hyderabad,Recruitment,"Jamesh Johnson, Sainath Malkapuram Goud",Anup Kumar Yama,600000,
June,Kazam,2020,Bangalore,EV startup,"Akshay Shekhar, Vaibhav Tyagi",Inflection Point Ventures,900000,Seed
June,MYRE Capital,2020,Mumbai,Commercial Real Estate,Own rent yielding commercial properties,Aryaman Vir,,6000000
June,BimaPe,2020,Mumbai,FinTech,Rahul Mathur,"iSeed, Titan Capital",500000,Pre-seed
June,MicroDegree,2019,Mangalore,EdTech,"Gaurav Kamath, Rakesh Kothari, Manikanta Nair",Research Innovation Incubation Design Labs,Undisclosed,
June,Saarthi Pedagogy,2015,Ahmadabad,EdTech,Pedagogy,Sushil Agarwal,"JITO Angel Network, LetsVenture",1000000
June,Synapsica,2017,New Delhi,HealthCare,"Meenakshi Singh, Dr Cherian, Kuldeep Singh Chauhan","IvyCap Ventures, Endiya Partners",4000000,Series A
June,Kwik Foods,2020,Gurugram,Food & Beverages,"Prabhleen Kaur, Harshal Patel",9Unicorns,Undisclosed,Seed
June,Plutomen,2016,Ahmadabad,AR startup,Keyur Bhalavat,"GUSEC Seed Fund, DeVX Venture Fund",300000,
June,GoMechanic,2016,Gurugram,Automotive,Kushal Karwa,"Tiger Global, Sequoia",42000000,Series C
June,Grinntech,2013,Chennai,Automotive,"Nikhilesh Mishra, Puneet Jain",,2000000,
June,Nobel Hygiene,1999,Mumbai,Healthcare,Johari Kamal,Quadria Capital,60000000,
June,Green Cure,2015,New Delhi,Healthcare,Sanchit Garg,Venture Catalysts,Undisclosed,Pre-series A
June,Classplus,2017,Noida,EdTech,"Mukul Rustagi, Bhaswat Agarwal",Tiger Global,65000000,Series C
June,WINDO,2020,Hyderabad,E-commerce,"Silus Reddy Chintapalli, Rakesh Vaddadi",Unicorn India Ventures,500000,Seed
June,ApnaKlub,2020,Bangalore,E-commerce,"Shruti, Manish Kumar","Blume Ventures, Whiteboard Capital",Undisclosed,Pre-series A
June,LegalPay,2019,New Delhi,FinTech,Kundan Shahi,Ashwini Kakkar. 9Unicorns,Undisclosed,
June,Lavado,2016,Mumbai,Consumer service,Disha Jain,Ashish Shah,Undisclosed,
June,Navars,2019,Hyderabad,EdTech,Sravan Varma Datla,Faad Network,Undisclosed,
June,GoBolt,2015,Gurugram,Logistics,"Naitik Baghla, Parag Aggarwal, Sumit Sharma","Paragon Partners, Aavishkaar Capital",20000000,Series B
June,Loco,2018,Bangalore,Gaming,"Anirudh Pandita, Ashwin Suresh","Krafton, Lumikai",9000000,Seed
June,Auric,2017,New Delhi,Healthcare,Deepak Agarwal,Venture Catalysts,2000000,Pre-series A
June,Edmingle,2016,Bangalore,EdTech,Gaurav Doshi,"Indovation Fund, Mumbai Angels",300000,
June,Slice,2016,Bangalore,FinTech,Rajan Bajaj,"Gunosy, Blume Ventures",20000000,
June,Humit,2020,Bangalore,Music,"Rohit Ganapathy, Prithvi Sankar, Ishaan Negi",Antler India,Undisclosed,Pre-seed
June,Airblack,2019,Gurugram,IT startup,"Videt Jaiswal, Vaibhav Raj Gupta","Edge Ventures, Elevation Capital",5200000,Series A
June,NIRAMAI,2016,Bangalore,Healthcare,Geetha Manjunath,CDC Group,Undisclosed,
June,Intervue,2021,New Delhi,SaaS startup,"Rahul Arora, Pushpender Singh Rautela","Titan Capital, Kunal Shah",Undisclosed,Seed
June,Nestroots,2016,Gurugram,Fashion,Chhavi Singh,We Founder Circle,100000,Seed
June,Detect Technologies,2016,Chennai,Automation,Daniel Raj David,"Accel Partners, Elevation Capital",12000000,
June,CredR,2015,Bangalore,Automotive,Sasidhar Nandigam,"Yamaha Motors, Omidyar Network India, Eight Roads Ventures",6500000,
June,Fourth Partner Energy,2010,Hyderabad,Solar,Vivek Subramanian,"Norfund, The Rise Fund",125000000,
June,TABLT,2018,Kolkata,Healthcare,Anish Agarwal,Siti Cable,3000000,Seies A
June,Hesa,2020,Hyderabad,IT startup,"Vamsi Udayagiri, Hema Nandiraju","Venture Catalysts, 9Unicorns",2000000,Seed
June,Powerhouse91,2020,Gurugram,Consumer goods,"Shashwat Diesh, Aqib Mohammed",Crossbeam Venture Partners,Undisclosed,Seed
June,Nalanda Learning,2011,Kolkata,EdTech,Tamal Mukherjee,Aavishkaar Capital,5000000,
June,Chargeup,2019,New Delhi,Renewable Energy,"Varun Goenka, Akshay Kashyap",Mapmyindia,Undisclosed,Pre-series A
June,Knackit,2019,Bangalore,IT startup,"Pranjal Kumar, Akanksha Bhardwaj",Jyoti Bansal,100000,
June,Treebo Hotels,2015,Bangalore,Hospitality,"Sidharth Gupta, Kadam Jeet Jain, Rahul Chaudhary",Accor,16000000,Series D
June,Raptee Energy,2019,Chennai,Automotive,Phunith Kumar,,700000,
June,Meddo,2018,Gurugram,Healthcare,"Saurabh Kochhar, Dr Naveen Nishchal","SRI Capital, Picus Capital, Alkemi Capital",6000000,
June,Supertails,2021,Bangalore,Pet care,"Vineet Khanna, Varun Sadana, Aman Tekriwal","Saama Capital, DSG Consumer Partners",2600000,Pre-series A
May,Lenskart,2010,"Faridabad, Haryana",Fashion ,"Amit Chaudhary, Peyush Bansal","Kohlberg Kravis Roberts, Temasek Holdings",95000000,
May,ParkSmart,2018,New Delhi,Automotive,"Prateek Garg, Rahul Gupta, Ratan Anmol Sethi, Rishabh Nagpal, Vishva Sharma","Shireen Rangaswamy, Dilesh Gathani",Undisclosed,Seed
May,Virohan,2018,Gurugram,EdTech,"Archit Jayasal, Kunaal Dudeja, Nalin Saluja, Paarul Dudeja","Rebright Partners, Wadhwani Foundation",3000000,Series A
May,BankSathi,2019,New Delhi,FinTech,Jitendra Dhaka,"Dinesh Godara, Aditya Talwar",200000,Seed
May,Spark Studio,2020,Bangalore,EdTech,Anushree Goenka,Better Capital,Undisclosed,Seed
May,BlissClub,2020,Bangalore,Fashion ,Minu Margeret,Elevation Capital,2000000,Seed
May,BricSpaces,2018,Bangalore,Real estate,Madhusudhan,Angel investors,350000,Pre-seed
May,ANSR,2008,Bangalore,Consulting,Lalit Ahuja,"Sistema Asia Capital, Evolvence India Fund",15000000,Series B
May,Keito,2016,Pune,AI company,Amal P S,"Rajesh Agarwal, Nandkishore Mundada",Undisclosed,Seed
May,Reccy Adventures,2019,Gurugram,Sports startup,"Amit Chowdhury, Siddhartha Chatterjee, Tapas Pal","Kallol Banerjee, Jaydeep Barman",400000,Seed
May,Magenta EV,2017,Mumbai,Renewable Energy,"Maxson Lewis, Darryl Dias","JITO Angel Network, LetsVenture",15000000,Series A
May,Karbon Card,2019,Bangalore,FinTech,"Amit Jangir, Bo Li, Jianwei Chen, Kartik Jain, Pei-fu Hsieh, Sunil Kumar","MyAsia VC, Orios Venture Partners",1000000,Pre-series A
May,Wysa,2015,Bangalore,AI company,"Jo Aggarwal, Ramakant Vempati","W Health Ventures, Pi Ventures",5000000,Series A
May,Agnikul,2017,Chennai,SpaceTech,"Moin SPM, Satyanarayanan Chakravarthy, Srinath Ravichandran","Artha India Ventures, Sriram Krishnan",11000000,Series A
May,LegalPay,2019,New Delhi,FinTech,Kundan Shahi,9Unicorns,Undisclosed,Seed
May,Glamplus,2020,Bangalore,SaaS startup,Divyanshu Singh,Inflection Point Ventures,200000,Pre-series A
May,Tekie,2017,Gurugram,EdTech,"Anand Verma, Naman Mukund","GSV, Multiply Ventures",1500000,Seed
May,Asirvad Microfinance,2007,Chennai,FinTech,Raja Vaidyanathan,"WorldBusiness Capital, Northern Arc",15000000,
May,Avalon Labs,2017,Bangalore,FinTech,Varun Mayya,"Tanglin Ventures, Better Capital, Whiteboard Capital",Undisclosed,Pre-series A
May,Betterhalf.ai,2016,Bangalore,Matrimony,"Rahul Namdev, Pawan Gupta","Y Combinator, Rehan A Khan",3000000,Pre-series A
May,Koo,2020,Bangalore,Social Media,"Aprameya Radhakrishna, Mayank Bidawatka","Balaji Srinivasan, Naval Ravikant",30000000,Series B
May,Rezo.ai,2017,Noida,AI startup,"Manish Gupta, Rashi Gupta","Devesh Sachdev, Bhavesh Manglani",Undisclosed,Seed
May,Mentoria,2015,Mumbai,EdTech,"Ashish Arora, Nikhar Arora, Sameer Bhakhri","Pradeep K Jaisingh, Jayant Mehrotra",200000,Pre-series A
May,Cuvette Tech,2020,Bangalore,Human Resources,"Atul Singhal, Sudhanshu Singh","Varun Alagh, Harish Daiya",1800000,Seed
May,Clensta,2016,New Delhi,BioTechnology,Puneet Gupta,"IAN Fund, World Startup Factory",600000,
