Month,Company/Brand,Founded,Headquarters,Sector,Founder/s,Investor/s,Amount ($),Stage
November,TRDR,2020,Bangalore,Financial Services,Ricky Jacob,"Kunal Shah, Snehal Fulzele",150000,
November,Zoomcar,2012,Bangalore,Mobility,Greg Moran,SternAegis Ventures,92000000,
November,Leap India,2013,Mumbai,Logistics & Supply Chain,Anurag Malempati,CDC Group,10000000,
November,SuperBottoms,2015,Mumbai,Consumer Goods,Pallavi Utagi,Alteria Capital,400000,
November,Cora Health,2020,Bangalore,"Health, Wellness & Fitness","Snigdha Kumar, Shrijit Venkatesh",Indian Angel Network,600000,Seed
November,Battery Smart,2019,New Delhi,Renewables & Environment,"Pulkit Khurana, Siddharth Sikka","Blume Ventures, Orios Ventures",7000000,Pre-series A
November,The Good Glamm Group,2021,Pune,Information Technology & Services,"Darpan Sanghvi, Priyanka Gill, Naiyya saggi","Warburg Pincus﻿, Prosus Ventures",150000000,Series D
November,Mosaic Wellness,2019,Mumbai,"Health, Wellness & Fitness",Dhyanesh Shah,Sequoia,24000000,Series A
November,CloudFiles,2020,Bangalore,SaaS startup,"Vishesh Singhal, Ankit Gupta, Siddharth Garg",Titan Capital,300000,Pre-seed
November,The Viral Fever,2012,Mumbai,Entertainment,Arunabh Kumar,BlackSoil,2000000,
November,Xpand,2021,New Delhi,Retail,Sanjay Kaul,"Akash Prakash, Madhu Jayakumar, Dipinder Sandhu, Shagun Khandelwal",1500000,Pre-series A
November,Troo Good,2018,Hyderabad,E-commerce,Raju Bhupati,OAKS Asset Management,7000000,Series A
November,Prodo,2021,New Delhi,Business Supplies & Equipment,"Sameen Husain, Abhiroop Srivastava","Titan Capital, LetsVenture",300000,Pre-seed
November,Unnati,2019,Noida,FinTech,"Amit Sinha, Ashok Prasad","Incofin, NabVentures, Orios",7000000,Series A
November,Lysto,2021,Bangalore,NFT,Sadiq Ahamed,BEENEXT,3000000,Seed
November,Wakefit,2014,Bangalore,Furniture,"Ankit Garg, Chaitanya Ramalingegowda",SIG,20000000,Series C
November,Buyofuel,2020,Coimbatore,Oil & Energy,"Kishan Karunakaran, Venkateswaran Selvan, Sumanth Kumar",Inflection Point Ventures,100000,Seed
November,ElectricPe,2021,Bangalore,EV,"Avinash Sharma, Raghav Rohila","Blume Ventures, Micelio Fund",3000000,Seed
